route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10,10-Holiday1-1-2024_5-0000001,3638395,Conestoga College via Mill,1,366225,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638396,Conestoga College via Mill,1,366224,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638397,Conestoga College via Mill,1,366227,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638398,Conestoga College via Mill,1,366226,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638399,Conestoga College via Mill,1,366228,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638400,Conestoga College via Mill,1,366228,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638401,Conestoga College via Mill,1,366225,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638402,Conestoga College via Mill,1,366225,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638403,Conestoga College via Mill,1,366224,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638404,Conestoga College via Mill,1,366228,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638405,Conestoga College via Mill,1,366227,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638406,Conestoga College via Mill,1,366224,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638407,Conestoga College via Mill,1,366226,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638408,Conestoga College via Mill,1,366226,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638409,Conestoga College via Mill,1,366227,100018,1,1
10,10-Holiday1-1-2024_5-0000001,3638410,Fairway Station via Mill,0,366227,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638411,Fairway Station via Mill,0,366226,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638412,Fairway Station via Mill,0,366228,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638413,Fairway Station via Mill,0,366225,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638414,Fairway Station via Mill,0,366224,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638415,Fairway Station via Mill,0,366227,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638416,Fairway Station via Mill,0,366226,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638417,Fairway Station via Mill,0,366228,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638418,Fairway Station via Mill,0,366225,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638419,Fairway Station via Mill,0,366224,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638420,Fairway Station via Mill,0,366227,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638421,Fairway Station via Mill,0,366226,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638422,Fairway Station via Mill,0,366228,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638423,Fairway Station via Mill,0,366225,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638424,Fairway Station via Mill,0,366224,100007,1,1
10,10-Holiday1-1-2024_5-0000001,3638425,Fairway Station via Mill,0,366227,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702455,Conestoga College via Mill,1,369661,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702456,Conestoga College via Mill,1,369660,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702457,Conestoga College via Mill,1,369663,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702458,Conestoga College via Mill,1,369662,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702459,Conestoga College via Mill,1,369664,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702460,Conestoga College via Mill,1,369664,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702461,Conestoga College via Mill,1,369661,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702462,Conestoga College via Mill,1,369661,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702463,Conestoga College via Mill,1,369660,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702464,Conestoga College via Mill,1,369664,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702465,Conestoga College via Mill,1,369663,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702466,Conestoga College via Mill,1,369660,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702467,Conestoga College via Mill,1,369662,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702468,Conestoga College via Mill,1,369662,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702469,Conestoga College via Mill,1,369663,100018,1,1
10,10-Holiday1-1-2025_1-0000001,3702470,Fairway Station via Mill,0,369663,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702471,Fairway Station via Mill,0,369662,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702472,Fairway Station via Mill,0,369664,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702473,Fairway Station via Mill,0,369661,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702474,Fairway Station via Mill,0,369660,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702475,Fairway Station via Mill,0,369663,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702476,Fairway Station via Mill,0,369662,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702477,Fairway Station via Mill,0,369664,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702478,Fairway Station via Mill,0,369661,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702479,Fairway Station via Mill,0,369660,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702480,Fairway Station via Mill,0,369663,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702481,Fairway Station via Mill,0,369662,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702482,Fairway Station via Mill,0,369664,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702483,Fairway Station via Mill,0,369661,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702484,Fairway Station via Mill,0,369660,100007,1,1
10,10-Holiday1-1-2025_1-0000001,3702485,Fairway Station via Mill,0,369663,100007,1,1
10,10-Holiday3-1-2024_5-0000001,3687040,Conestoga College via Mill,1,368335,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687041,Conestoga College via Mill,1,368334,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687042,Conestoga College via Mill,1,368337,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687043,Conestoga College via Mill,1,368336,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687044,Conestoga College via Mill,1,368338,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687045,Conestoga College via Mill,1,368338,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687046,Conestoga College via Mill,1,368335,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687047,Conestoga College via Mill,1,368335,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687048,Conestoga College via Mill,1,368334,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687049,Conestoga College via Mill,1,368338,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687050,Conestoga College via Mill,1,368337,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687051,Conestoga College via Mill,1,368334,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687052,Conestoga College via Mill,1,368336,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687053,Conestoga College via Mill,1,368336,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687054,Conestoga College via Mill,1,368337,100018,1,1
10,10-Holiday3-1-2024_5-0000001,3687055,Fairway Station via Mill,0,368337,100007,1,1
10,10-Holiday3-1-2024_5-0000001,3687056,Fairway Station via Mill,0,368336,100007,1,1
