shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10007,43.435230,-80.560330,10001
10007,43.434996,-80.560082,10002
10007,43.434696,-80.559767,10003
10007,43.434689,-80.559757,10004
10007,43.434671,-80.559783,10005
10007,43.434653,-80.559801,10006
10007,43.434634,-80.559813,10007
10007,43.434614,-80.559821,10008
10007,43.434592,-80.559823,10009
10007,43.434571,-80.559821,10010
10007,43.434551,-80.559814,10011
10007,43.434531,-80.559801,10012
10007,43.434517,-80.559788,10013
10007,43.434497,-80.559763,10014
10007,43.434486,-80.559740,10015
10007,43.434477,-80.559714,10016
10007,43.434471,-80.559685,10017
10007,43.434468,-80.559656,10018
10007,43.434471,-80.559626,10019
10007,43.434475,-80.559598,10020
10007,43.434484,-80.559571,10021
10007,43.434496,-80.559551,10022
10007,43.434513,-80.559526,10023
10007,43.434530,-80.559509,10024
10007,43.434549,-80.559496,10025
10007,43.434569,-80.559489,10026
10007,43.434592,-80.559486,10027
10007,43.434612,-80.559488,10028
10007,43.434633,-80.559496,10029
10007,43.434667,-80.559520,10030
10007,43.434988,-80.558943,10031
10007,43.435266,-80.558443,10032
10007,43.435243,-80.558412,10033
10007,43.435224,-80.558375,10034
10007,43.435207,-80.558329,10035
10007,43.435201,-80.558289,10036
10007,43.435197,-80.558243,10037
10007,43.435201,-80.558198,10038
10007,43.435209,-80.558153,10039
10007,43.435223,-80.558112,10040
10007,43.435230,-80.558096,10041
10007,43.434815,-80.557669,10042
10007,43.434433,-80.557288,10043
10007,43.432875,-80.555848,10044
10007,43.432497,-80.555518,10045
10007,43.432111,-80.555173,10046
10007,43.431329,-80.554501,10047
10007,43.430738,-80.554049,10048
10007,43.430157,-80.553672,10049
10007,43.429730,-80.553441,10050
10007,43.429368,-80.553254,10051
10007,43.429224,-80.553186,10052
10007,43.429224,-80.553186,20001
10007,43.429089,-80.553122,20002
10007,43.428985,-80.553090,20003
10007,43.428966,-80.553163,20004
10007,43.428933,-80.553226,20005
10007,43.428891,-80.553267,20006
10007,43.428844,-80.553292,20007
10007,43.428782,-80.553295,20008
10007,43.428719,-80.553265,20009
10007,43.428667,-80.553207,20010
10007,43.428634,-80.553122,20011
10007,43.428627,-80.553058,20012
10007,43.428629,-80.553008,20013
10007,43.428524,-80.552988,20014
10007,43.427314,-80.552673,20015
10007,43.426758,-80.552637,20016
10007,43.426299,-80.552616,20017
10007,43.425859,-80.552644,20018
10007,43.425615,-80.552655,20019
10007,43.425615,-80.552655,30001
10007,43.423596,-80.552739,30002
10007,43.423482,-80.552731,30003
10007,43.423482,-80.552731,40001
10007,43.423386,-80.552716,40002
10007,43.423225,-80.552717,40003
10007,43.423220,-80.552780,40004
10007,43.423202,-80.552843,40005
10007,43.423175,-80.552899,40006
10007,43.423126,-80.552954,40007
10007,43.423071,-80.552984,40008
10007,43.423011,-80.552984,40009
10007,43.422972,-80.552973,40010
10007,43.422926,-80.552944,40011
10007,43.422887,-80.552899,40012
10007,43.422858,-80.552843,40013
10007,43.422841,-80.552778,40014
10007,43.422836,-80.552719,40015
10007,43.421914,-80.552741,40016
10007,43.421471,-80.552742,40017
10007,43.417963,-80.552798,40018
10007,43.417614,-80.552806,40019
10007,43.417614,-80.552806,50001
10007,43.415922,-80.552850,50002
10007,43.415379,-80.552861,50003
10007,43.414923,-80.552855,50004
10007,43.414913,-80.552930,50005
10007,43.414893,-80.552987,50006
10007,43.414860,-80.553040,50007
10007,43.414818,-80.553079,50008
10007,43.414761,-80.553098,50009
10007,43.414721,-80.553098,50010
10007,43.414675,-80.553083,50011
10007,43.414636,-80.553052,50012
10007,43.414600,-80.553008,50013
10007,43.414578,-80.552955,50014
10007,43.414561,-80.552892,50015
10007,43.414564,-80.552828,50016
10007,43.414578,-80.552757,50017
10007,43.414596,-80.552703,50018
10007,43.414631,-80.552658,50019
10007,43.414676,-80.552621,50020
10007,43.414725,-80.552607,50021
10007,43.414770,-80.552610,50022
10007,43.414796,-80.552455,50023
10007,43.414914,-80.552116,50024
10007,43.415301,-80.550889,50025
10007,43.415301,-80.550889,60001
10007,43.415350,-80.550734,60002
10007,43.415431,-80.550446,60003
10007,43.415475,-80.550165,60004
10007,43.415500,-80.549876,60005
10007,43.415469,-80.549518,60006
10007,43.415436,-80.549314,60007
10007,43.415408,-80.548958,60008
10007,43.415442,-80.548523,60009
10007,43.415600,-80.547684,60010
10007,43.415639,-80.547528,60011
10007,43.415734,-80.547248,60012
10007,43.415734,-80.547248,70001
10007,43.415908,-80.546733,70002
10007,43.416291,-80.545791,70003
